Node,Social_Legitimacy,Real_Output_Repos,Smoke_Index
aleximas,30.3853,0,30.3853
substack.com,30.2071,0,30.2071
therealartificialintelligence,30.118,0,30.118
freesystems,30.118,0,30.118
agglomerations,30.118,0,30.118
aiprospects,30.118,0,30.118
post,30.118,0,30.118
forecastingresearch,60.2358,16,3.5433
open,0.5348,0,0.5348
alifeengineered,0.1783,0,0.1783
helentoner,0.0892,0,0.0892
tspasemiconductor,0.0892,0,0.0892
cheekypint,0.0892,0,0.0892
speechmap,0.0892,0,0.0892
ailabwatch,0.0892,0,0.0892
davidbessis,0.0892,0,0.0892
stevensalzberg,0.0892,0,0.0892
recsysml,0.0892,0,0.0892
thomaswdinsmore,0.0892,0,0.0892
simonlermen,0.0892,1,0.0446
mindfulmodeler,0.0892,1,0.0446
nanransohoff,0.0892,2,0.0297
frontierai,0.0892,2,0.0297
importai,0.0892,4,0.0178
benn,0.0892,5,0.0149
semaphore,0.0892,21,0.0041
benhylak,0.0892,33,0.0026
latentspace,0.0001,0,0.0001
thealgorithmicbridge,0.0001,0,0.0001
garymarcus,0.0001,0,0.0001
dwarkesh,0.0001,0,0.0001
zvi,0.0001,1,0.0001
stratechery,0.0001,0,0.0001
pragmaticengineer,0.0001,0,0.0001
lennysnewsletter,0.0001,1,0.0001
cleothink,0.0001,0,0.0001
aiweekly,0.0001,1,0.0001
rundownai,0.0001,0,0.0001
thesequence,0.0001,22,0.0
bensbites,0.0001,2,0.0
simonw,0.0001,965,0.0
