repeat,adaptive_fitness,static_fitness,adaptive_entropy,static_entropy,meta_events,avg_rate_drift
0,-15.143,-23,0.9368609479396016,0.9368609479396016,4,2.940183244979872e-05
1,-15.665000000000001,-20,0.955965185666141,0.955965185666141,14,0.0001961024515689824
2,-5.6,-12.5,0.9266102748584982,0.9266102748584982,19,0.00022503143706002404
3,-14.903500000000001,-15.6,0.9463519130652199,0.9463519130652199,46,0.0006498281059446985
4,-28,-28,0.9504581068778947,0.9504581068778947,3,5.3968137968496215e-05
5,-5.776999999999999,-11.5,0.9694243703362527,0.9694243703362527,11,0.0001440181003452763
6,-14.5,-14.5,0.947152928878241,0.947152928878241,31,0.00030500704762210747
7,-14.923,-17.2,0.9362321563938194,0.9362321563938194,27,0.00039663353653489184
8,-23,-23,0.9531215292934418,0.9531215292934418,10,8.290488815020174e-05
9,-2,-2,0.968914194050638,0.968914194050638,27,0.00030030837507359235
